"bNumber"	"gene"	"function"
"b0976"	"hyaE"	"protein involved in processing of HyaA and HyaB proteins"
"b0977"	"hyaF"	"protein involved in nickel incorporation into hydrogenase-1 proteins"
"b0978"	"appC"	"cytochrome bd-II oxidase, subunit I"
"b0979"	"appB"	"cytochrome bd-II oxidase, subunit II"
"b0980"	"appA"	"phosphoanhydride phosphorylase"
"b0981"	"yccC"	"cryptic autophosphorylating protein tyrosine kinase Etk"
"b0982"	"etp"	"phosphotyrosine-protein phosphatase"
"b0983"	"yccZ"	"predicted exopolysaccharide export protein"
"b0984"	"ymcA"	"conserved protein"
"b0985"	"ymcB"	"conserved protein"
"b0986"	"ymcC"	"predicted outer membrane lipoprotein"
"b0987"	"ymcD"	"predicted protein"
"b0989"	"cspH"	"stress protein, member of the CspA-family"
"b0990"	"cspG"	"DNA-binding transcriptional regulator"
"b0991"	"ymcE"	"cold shock gene"
"b4517"	"gnsA"	"predicted regulator of phosphatidylethanolamine synthesis"
"b0992"	"yccM"	"predicted 4Fe-4S membrane protein"
"b0993"	"torS"	"hybrid sensory histidine kinase in two-component regulatory system with TorR"
"b0994"	"torT"	"periplasmic sensory protein associated with the TorRS two-component regulatory system"
"b0995"	"torR"	"DNA-binding response regulator in two-component regulatory system with TorS"
"b0996"	"torC"	"trimethylamine N-oxide (TMAO) reductase I, cytochrome c-type subunit"
"b0997"	"torA"	"trimethylamine N-oxide (TMAO) reductase I, catalytic subunit, ferrichrome, binds Mo"
"b0998"	"torD"	"chaperone involved in maturation of TorA subunit of trimethylamine N-oxide reductase system I"
"b0999"	"cbpM"	"modulator of CbpA co-chaperone"
"b1000"	"cbpA"	"curved DNA-binding protein, DnaJ homologue that functions as a co-chaperone of DnaK"
"b1001"	"yccE"	"predicted protein"
"b1002"	"agp"	"glucose-1-phosphatase/inositol phosphatase"
"b1003"	"yccJ"	"predicted protein"
"b1004"	"wrbA"	"NAD(P)H:quinone oxidoreductase"
"b4518"	"ymdF"	"conserved protein"
"b1006"	"rutG"	"predicted xanthine/urasil transporter"
"b1007"	"rutF"	"predicted flavin reductase"
"b1008"	"rutE"	"predicted nitroreductase"
"b1009"	"rutD"	"predicted hydrolase"
"b1010"	"rutC"	"predicted endoribonuclease"
"b1011"	"rutB"	"predicted isochorismatase"
"b1012"	"rutA"	"predicted coenzyme F420-dependent N5,N10-methylenetetrahydromethanopterin reductase"
"b1013"	"rutR"	"predicted transcriptional regulator for rut operon"
"b1014"	"putA"	"fused DNA-binding transcriptional regulator -!- proline dehydrogenase -!- pyrroline-5-carboxylate dehydrogenase"
"b1015"	"putP"	"proline/propionate:sodium symporter"
"b1016"	"ycdN_1"	"low-pH Fe(2+) importer subunit, N-ter fragment (pseudogene)"
"b1017"	"ycdN_2"	"low-pH Fe(2+) importer subunit, C-ter fragment (pseudogene)"
"b4490"	"efeU"	"ferrous iron-uptake transporter (pseudogene)"
"b1018"	"ycdO"	"low-pH Fe(2+) importer subunit"
"b1019"	"ycdB"	"acid peroxidase with heme cofactor, low-pH Fe(2+) importer subunit"
"b1020"	"phoH"	"conserved protein with nucleoside triphosphate hydrolase domain"
"b1021"	"ycdP"	"predicted inner membrane protein"
"b1022"	"ycdQ"	"predicted glycosyl transferase"
"b1023"	"ycdR"	"predicted enzyme associated with biofilm formation"
"b1024"	"ycdS"	"predicted outer membrane protein"
"b1025"	"ycdT"	"predicted diguanylate cyclase"
"b1028"	"ymdE"	"predicted protein (pseudogene)"
"b1029"	"ycdU"	"predicted inner membrane protein"
"b1032"	"serX"	"tRNA-Ser(GGA) (Serine tRNA5)"
"b1033"	"ycdW"	"2-ketoacid reductase"
"b1034"	"ycdX"	"predicted zinc-binding hydrolase"
"b1035"	"ycdY"	"conserved protein"
"b1036"	"ycdZ"	"predicted inner membrane protein"
"b1037"	"csgG"	"outer membrane lipoprotein"
"b1038"	"csgF"	"predicted transport protein"
"b1039"	"csgE"	"predicted  transport protein"
"b1040"	"csgD"	"DNA-binding transcriptional activator in two-component regulatory system"
"b1041"	"csgB"	"curlin nucleator protein, minor subunit in curli complex"
"b1042"	"csgA"	"cryptic curlin major subunit"
"b1043"	"csgC"	"predicted curli production protein"
"b1044"	"ymdA"	"predicted protein"
"b1045"	"ymdB"	"conserved protein"
"b1046"	"ymdC"	"predicted group transfer"
"b1047"	"mdoC"	"membrane protein required for modification of periplasmic glucan"
"b1048"	"mdoG"	"glucan biosynthesis protein, periplasmic"
"b1049"	"mdoH"	"glucan biosynthesis: glycosyl transferase"
"b1050"	"yceK"	"predicted lipoprotein"
"b1051"	"msyB"	"predicted protein"
"b1053"	"mdtG"	"predicted drug efflux system"
"b1054"	"lpxL"	"lauryl-acyl carrier protein (ACP)-dependent acyltransferase"
"b1055"	"yceA"	"conserved protein"
"b1056"	"yceI"	"predicted protein"
"b1057"	"yceJ"	"predicted cytochrome b561"
"b1058"	"yceO"	"predicted protein"
"b1059"	"solA"	"N-methyltryptophan oxidase, FAD-binding"
"b1060"	"yceP"	"predicted protein"
"b1061"	"dinI"	"DNA damage-inducible protein I"
"b1062"	"pyrC"	"dihydro-orotase"
"b1063"	"yceB"	"predicted lipoprotein"
"b1064"	"grxB"	"glutaredoxin 2 (Grx2)"
"b1065"	"mdtH"	"predicted drug efflux system"
"b1066"	"rimJ"	"ribosomal-protein-S5-alanine N-acetyltransferase"
"b1067"	"yceH"	"conserved protein"
"b1068"	"mviM"	"predicted oxidoreductase, NAD(P)-binding Rossmann-fold domain"
"b1069"	"mviN"	"predicted inner membrane protein"
"b1070"	"flgN"	"export chaperone for FlgK and FlgL"
"b1071"	"flgM"	"anti-sigma factor for FliA (sigma 28)"
"b1072"	"flgA"	"assembly protein for flagellar basal-body periplasmic P ring"
"b1073"	"flgB"	"flagellar component of cell-proximal portion of basal-body rod"
"b1074"	"flgC"	"flagellar component of cell-proximal portion of basal-body rod"
"b1075"	"flgD"	"flagellar hook assembly protein"
"b1076"	"flgE"	"flagellar hook protein"
"b1077"	"flgF"	"flagellar component of cell-proximal portion of basal-body rod"
"b1078"	"flgG"	"flagellar component of cell-distal portion of basal-body rod"
"b1079"	"flgH"	"flagellar protein of basal-body outer-membrane L ring"
"b1080"	"flgI"	"predicted flagellar basal body protein"
"b1081"	"flgJ"	"muramidase"
"b1082"	"flgK"	"flagellar hook-filament junction protein 1"
"b1083"	"flgL"	"flagellar hook-filament junction protein"
"b1084"	"rne"	"fused ribonuclease E endoribonuclease -!- scaffold for formation of degradosome"
"b1085"	"yceQ"	"predicted protein"
"b1086"	"rluC"	"23S rRNA pseudouridylate synthase"
"b1087"	"yceF"	"predicted protein"
"b4418"	"sraB"	"small RNA"
"b1088"	"yceD"	"conserved protein"
"b1089"	"rpmF"	"50S ribosomal subunit protein L32"
"b1090"	"plsX"	"fatty acid/phospholipid synthesis protein"
"b1091"	"fabH"	"3-oxoacyl-[acyl-carrier-protein] synthase III"
"b1092"	"fabD"	"malonyl-CoA-[acyl-carrier-protein] transacylase"
"b1093"	"fabG"	"3-oxoacyl-[acyl-carrier-protein] reductase, NAD(P)-binding domain"
"b1094"	"acpP"	"acyl carrier protein (ACP)"
"b1095"	"fabF"	"3-oxoacyl-[acyl-carrier-protein] synthase II"
"b1096"	"pabC"	"4-amino-4-deoxychorismate lyase component of para-aminobenzoate synthase multienzyme complex"
"b1097"	"yceG"	"predicted aminodeoxychorismate lyase"
"b1098"	"tmk"	"thymidylate kinase"
"b1099"	"holB"	"DNA polymerase III, delta prime subunit"
"b1100"	"ycfH"	"predicted metallodependent hydrolase"
"b1101"	"ptsG"	"fused glucose-specific PTS enzyme IIBC components"
"b1102"	"fhuE"	"ferric-rhodotorulic acid outer membrane transporter"
"b1103"	"hinT"	"purine nucleoside phosphoramidase"
"b1104"	"ycfL"	"predicted protein"
"b1105"	"ycfM"	"predicted outer membrane lipoprotein"
"b1106"	"ycfN"	"thiamin kinase"
"b1107"	"nagZ"	"beta N-acetyl-glucosaminidase"
"b1108"	"ycfP"	"conserved protein"
"b1109"	"ndh"	"respiratory NADH dehydrogenase 2/cupric reductase"
"b1110"	"ycfJ"	"predicted protein"
"b1111"	"ycfQ"	"predicted DNA-binding transcriptional regulator"
"b1112"	"ycfR"	"predicted protein"
"b1113"	"ycfS"	"conserved protein"
"b1114"	"mfd"	"transcription-repair coupling factor"
"b1115"	"ycfT"	"predicted inner membrane protein"
"b1116"	"lolC"	"outer membrane-specific lipoprotein transporter subunit -!- membrane component of ABC superfamily"
"b1117"	"lolD"	"outer membrane-specific lipoprotein transporter subunit -!- ATP-binding component of ABC superfamily"
"b1118"	"lolE"	"outer membrane-specific lipoprotein transporter subunit -!- membrane component of ABC superfamily"
"b1119"	"nagK"	"N-acetyl-D-glucosamine kinase"
"b1120"	"cobB"	"deacetylase of acetyl-CoA synthetase, NAD-dependent"
"b1121"	"ycfZ"	"predicted inner membrane protein"
"b1122"	"ymfA"	"predicted inner membrane protein"
"b1123"	"potD"	"polyamine transporter subunit -!- periplasmic-binding component of ABC superfamily"
"b1124"	"potC"	"polyamine transporter subunit -!- membrane component of ABC superfamily"
"b1125"	"potB"	"polyamine transporter subunit -!- membrane component of ABC superfamily"
"b1126"	"potA"	"polyamine transporter subunit -!- ATP-binding component of ABC superfamily"
"b1127"	"pepT"	"peptidase T"
"b1128"	"ycfD"	"conserved protein"
"b1129"	"phoQ"	"sensory histidine kinase in two-compoent regulatory system with PhoP"
"b1130"	"phoP"	"DNA-binding response regulator in two-component regulatory system with PhoQ"
"b1131"	"purB"	"adenylosuccinate lyase"
"b1132"	"hflD"	"predicted lysogenization regulator"
"b1133"	"trmU"	"tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase"
"b1134"	"ymfB"	"bifunctional thiamin pyrimidine pyrophosphate hydrolase -!- thiamin pyrophosphate hydrolase"
"b1135"	"ymfC"	"23S rRNA pseudouridine synthase"
"b1136"	"icd"	"e14 prophage; isocitrate dehydrogenase, specific for NADP+"
"b1137"	"ymfD"	"e14 prophage; predicted SAM-dependent methyltransferase"
"b1138"	"ymfE"	"e14 prophage; predicted inner membrane protein"
"b1139"	"lit"	"e14 prophage; cell death peptidase, inhibitor of T4 late gene expression"
"b1140"	"intE"	"e14 prophage; predicted integrase"
"b1141"	"ymfG"	"e14 prophage; predicted excisionase"
"b1142"	"ymfH"	"e14 prophage; predicted protein"
"b1143"	"ymfI"	"e14 prophage; predicted protein"
"b1144"	"ymfJ"	"e14 prophage; predicted protein"
"b1145"	"ymfK"	"e14 prophage; repressor protein phage e14"
"b1146"	"ymfT"	"e14 prophage; predicted DNA-binding transcriptional regulator"
"b1147"	"ymfL"	"e14 prophage; predicted DNA-binding transcriptional regulator"
"b1148"	"ymfM"	"e14 prophage; predicted protein"
"b1149"	"ymfN"	"e14 prophage; predicted DNA-binding transcriptional regulator"
"b1150"	"ymfR"	"e14 prophage; predicted protein"
"b1151"	"ymfO"	"e14 prophage; conserved protein"
"b1152"	"ymfP"	"e14 prophage; conserved protein"
"b1153"	"ymfQ"	"e14 prophage; conserved protein"
"b1154"	"ycfK"	"e14 prophage; predicted protein"
"b1155"	"ymfS"	"e14 prophage; predicted protein"
"b1156"	"tfaE"	"e14 prophage; predicted tail fiber assembly protein"
"b1157"	"stfE"	"e14 prophage; predicted side tail fiber protein fragment (pseudogene)"
"b1158"	"pin"	"e14 prophage; site-specific DNA recombinase"
"b1159"	"mcrA"	"e14 prophage; 5-methylcytosine-specific restriction endonuclease B"
"b4519"	"icdC"	"conserved protein (pseudogene)"
"b1160"	"elbA"	"predicted protein"
"b1161"	"ycgX"	"predicted protein"
"b1162"	"ycgE"	"predicted DNA-binding transcriptional regulator"
"b1163"	"ycgF"	"predicted FAD-binding phosphodiesterase"
"b1164"	"ycgZ"	"predicted protein"
"b1165"	"ymgA"	"predicted protein"
"b1166"	"ymgB"	"predicted protein"
"b1167"	"ymgC"	"predicted protein"
"b1168"	"ycgG"	"conserved inner membrane protein"
"b4520"	"ymgF"	"predicted protein"
"b1169"	"ycgH_1"	"predicted protein, N-ter fragment (pseudogene)"
"b1170"	"ycgH_2"	"predicted protein, C-ter fragment (pseudogene)"
"b4491"	"ycgH"	"predicted protein (pseudogene)"
"b1171"	"ymgD"	"predicted protein"
"b1172"	"ymgG"	"predicted protein"
"b4521"	"ymgH"	"predicted protein"
"b1173"	"ycgI"	"predicted protein"
"b1174"	"minE"	"cell division topological specificity factor"
"b1175"	"minD"	"membrane ATPase of the MinC-MinD-MinE system"
"b1176"	"minC"	"cell division inhibitor"
"b1177"	"ycgJ"	"predicted protein"
"b1178"	"ycgK"	"predicted protein"
"b1179"	"ycgL"	"conserved protein"
"b1180"	"ycgM"	"predicted isomerase/hydrolase"
"b1181"	"ycgN"	"conserved protein"
"b1182"	"hlyE"	"hemolysin E"
"b1183"	"umuD"	"DNA polymerase V, subunit D"
"b1184"	"umuC"	"DNA polymerase V, subunit C"
"b1185"	"dsbB"	"oxidoreductase that catalyzes reoxidation of DsbA protein disulfide isomerase I"
"b1186"	"nhaB"	"sodium:proton antiporter"
"b1187"	"fadR"	"DNA-binding transcriptional dual regulator"
"b1188"	"ycgB"	"conserved protein"
"b1189"	"dadA"	"D-amino acid dehydrogenase"
"b1190"	"dadX"	"alanine racemase 2, PLP-binding"
"b1191"	"cvrA"	"predicted cation/proton antiporter"
"b1192"	"ldcA"	"L,D-carboxypeptidase A"
"b1193"	"emtA"	"lytic murein endotransglycosylase E"
"b1194"	"ycgR"	"c-di-GMP receptor for motility regulation"
"b1195"	"ymgE"	"predicted inner membrane protein"
"b1196"	"ycgY"	"predicted protein"
"b1197"	"treA"	"periplasmic trehalase"
"b1198"	"dhaH"	"fused predicted dihydroxyacetone-specific PTS enzyme HPr component -!- EI component"
"b1199"	"dhaL"	"dihydroxyacetone kinase, subunit I"
"b1200"	"dhaK"	"dihydroxyacetone kinase, subunit II"
"b1201"	"dhaR"	"predicted DNA-binding transcriptional regulator, dihydroxyacetone"
"b1202"	"ycgV"	"predicted adhesin"
"b1203"	"ychF"	"predicted GTP-binding protein"
"b1204"	"pth"	"peptidyl-tRNA hydrolase"
"b1205"	"ychH"	"predicted inner membrane protein"
"b1206"	"ychM"	"predicted transporter"
"b1207"	"prsA"	"phosphoribosylpyrophosphate synthase"
"b1208"	"ispE"	"4-diphosphocytidyl-2-C-methylerythritol kinase"
"b1209"	"lolB"	"chaperone for lipoproteins"
"b1210"	"hemA"	"glutamyl tRNA reductase"
"b1211"	"prfA"	"peptide chain release factor RF-1"
"b1212"	"prmC"	"N5-glutamine methyltransferase, modifies release factors RF-1 and RF-2"
"b1213"	"ychQ"	"predicted transcriptional regulator"
"b1214"	"ychA"	"predicted transcriptional regulator"
"b1215"	"kdsA"	"3-deoxy-D-manno-octulosonate 8-phosphate synthase"
"b4419"	"ldrA"	"toxic polypeptide, small"
"b4420"	"rdlA"	"regulatory, antisense RNA"
"b4421"	"ldrB"	"toxic polypeptide, small"
"b4422"	"rdlB"	"regulatory, antisense sRNA"
"b4423"	"ldrC"	"toxic polypeptide, small"
"b4424"	"rdlC"	"regulatory, antisense sRNA"
"b1216"	"chaA"	"potassium/calcium/sodium:proton antiporter"
"b1217"	"chaB"	"predicted cation regulator"
"b1218"	"chaC"	"regulatory protein for cation transport"
"b1219"	"ychN"	"conserved protein"
"b1220"	"ychP"	"predicted invasin"
"b1221"	"narL"	"DNA-binding response regulator in two-component regulatory system with NarX (or NarQ)"
"b1222"	"narX"	"sensory histidine kinase in two-component regulatory system with NarL"
"b1223"	"narK"	"nitrate/nitrite transporter"
"b1224"	"narG"	"nitrate reductase 1, alpha subunit"
"b1225"	"narH"	"nitrate reductase 1, beta (Fe-S) subunit"
"b1226"	"narJ"	"molybdenum-cofactor-assembly chaperone subunit (delta subunit) of nitrate reductase 1"
"b1227"	"narI"	"nitrate reductase 1, gamma (cytochrome b(NR)) subunit"
"b1228"	"ychS"	"predicted protein"
"b4425"	"rtT"	"regulatory sRNA"
"b1229"	"tpr"	"predicted protamine-like protein"
"b1230"	"tyrV"	"tRNA-Tyr(GUA) (Tyrosine tRNA1)"
"b1231"	"tyrT"	"tRNA-Tyr(GUA) (Tyrosine tRNA1)"
"b1232"	"purU"	"formyltetrahydrofolate hydrolase"
"b1233"	"ychJ"	"conserved protein"
"b1234"	"rssA"	"conserved protein"
"b1235"	"rssB"	"response regulator of RpoS"
"b1236"	"galU"	"glucose-1-phosphate uridylyltransferase"
"b1237"	"hns"	"global DNA-binding transcriptional dual regulator H-NS"
"b1238"	"tdk"	"thymidine kinase/deoxyuridine kinase"
"b1239"	"ychG_2"	"predicted protein, C-ter fragment (pseudogene)"
"b1240"	"ychG_1"	"predicted protein, N-ter fragment (pseudogene)"
"b4573"	"ychG"	"predicted protein (pseudogene)"
"b1241"	"adhE"	"fused acetaldehyde-CoA dehydrogenase -!- iron-dependent alcohol dehydrogenase, NAD -!- pyruvate-formate lyase deactivase"
"b1242"	"ychE"	"predicted inner membrane protein"
"b1243"	"oppA"	"oligopeptide transporter subunit -!- periplasmic-binding component of ABC superfamily"
"b1244"	"oppB"	"oligopeptide transporter subunit -!- membrane component of ABC superfamily"
"b1245"	"oppC"	"oligopeptide transporter subunit -!- membrane component of ABC superfamily"
"b1246"	"oppD"	"oligopeptide transporter subunit -!- ATP-binding component of ABC superfamily"
"b1247"	"oppF"	"oligopeptide transporter subunit -!- ATP-binding component of ABC superfamily"
"b1248"	"yciU"	"predicted protein"
"b1249"	"cls"	"cardiolipin synthase 1"
"b1250"	"kch"	"voltage-gated potassium channel"
"b1251"	"yciI"	"predicted enzyme"
"b1252"	"tonB"	"membrane spanning protein in TonB-ExbB-ExbD complex"
"b1253"	"yciA"	"predicted hydrolase"
"b1254"	"yciB"	"predicted inner membrane protein"
"b1255"	"yciC"	"predicted inner membrane protein"
"b1256"	"ompW"	"outer membrane protein W"
"b1257"	"yciE"	"conserved protein"
"b1258"	"yciF"	"conserved protein"
"b1259"	"yciG"	"predicted protein"
"b1260"	"trpA"	"tryptophan synthase, alpha subunit"
"b1261"	"trpB"	"tryptophan synthase, beta subunit"
"b1262"	"trpC"	"fused indole-3-glycerolphosphate synthetase -!- N-(5-phosphoribosyl)anthranilate isomerase"
"b1263"	"trpD"	"fused glutamine amidotransferase (component II) of anthranilate synthase -!- anthranilate phosphoribosyl transferase"
"b1264"	"trpE"	"component I of anthranilate synthase"
"b1265"	"trpL"	"trp operon leader peptide"
"b1266"	"yciV"	"conserved protein"
"b1267"	"yciO"	"conserved protein"
"b1268"	"yciQ"	"predicted inner membrane protein"
"b1269"	"rluB"	"23S rRNA pseudouridylate synthase"
"b1270"	"btuR"	"cob(I)alamin adenolsyltransferase/cobinamide ATP-dependent adenolsyltransferase"
"b1271"	"yciK"	"predicted oxoacyl-(acyl carrier protein) reductase, EmrKY-TolC system"
"b1272"	"sohB"	"predicted inner membrane peptidase"
"b1273"	"yciN"	"predicted protein"
"b1274"	"topA"	"DNA topoisomerase I, omega subunit"
"b1275"	"cysB"	"DNA-binding transcriptional dual regulator, O-acetyl-L-serine-binding"
"b4522"	"yciX_1"	"predicted protein, N-ter fragment (pseudogene)"
"b4523"	"yciX_2"	"predicted protein, C-ter fragment (pseudogene)"
"b4574"	"yciX"	"predicted protein (pseudogene)"
"b1276"	"acnA"	"aconitate hydratase 1"
"b1277"	"ribA"	"GTP cyclohydrolase II"
"b1278"	"pgpB"	"phosphatidylglycerophosphate phosphatase B"
"b1279"	"yciS"	"conserved inner membrane protein"
"b1280"	"yciM"	"conserved protein"
"b1281"	"pyrF"	"orotidine-5'-phosphate decarboxylase"
"b1282"	"yciH"	"conserved protein"
"b1283"	"osmB"	"lipoprotein"
"b1284"	"deoT"	"DNA-binding global transcriptional regulator, DeoR-type family"
"b1285"	"gmr"	"modulator of Rnase II stability with EAL, GGDEF, PAS domains"
"b1286"	"rnb"	"ribonuclease II"
"b1287"	"yciW"	"predicted oxidoreductase"
"b1288"	"fabI"	"enoyl-[acyl-carrier-protein] reductase, NADH-dependent"
"b1289"	"ycjD"	"conserved protein"
"b1290"	"sapF"	"predicted antimicrobial peptide transporter subunit -!- ATP-binding component of ABC superfamily"
"b1291"	"sapD"	"predicted antimicrobial peptide transporter subunit -!- ATP-binding component of ABC superfamily"
"b1292"	"sapC"	"predicted antimicrobial peptide transporter subunit -!- membrane component of ABC superfamily"
"b1293"	"sapB"	"predicted antimicrobial peptide transporter subunit -!- membrane component of ABC superfamily"
"b1294"	"sapA"	"predicted antimicrobial peptide transporter subunit -!- periplasmic-binding component of ABC superfamily"
"b1295"	"ymjA"	"predicted protein"
"b1296"	"puuP"	"putrescine importer"
"b1297"	"puuA"	"gamma-Glu-putrescine synthase"
"b1298"	"puuD"	"gamma-Glu-GABA hydrolase"
"b1299"	"puuR"	"DNA-binding transcriptional repressor"
"b1300"	"puuC"	"gamma-Glu-gamma-aminobutyraldehyde dehydrogenase,  NAD(P)H-dependent"
"b1301"	"puuB"	"gamma-Glu-putrescine oxidase, FAD/NAD(P)-binding"
"b1302"	"puuE"	"4-aminobutyrate aminotransferase"
"b1303"	"pspF"	"DNA-binding transcriptional activator"
"b1304"	"pspA"	"regulatory protein for phage-shock-protein operon"
"b1305"	"pspB"	"transcriptional regulator of psp operon"
"b1306"	"pspC"	"transcriptional activator"
"b1307"	"pspD"	"peripheral inner membrane phage-shock protein"
"b1308"	"pspE"	"thiosulfate:cyanide sulfurtransferase (rhodanese)"
"b1309"	"ycjM"	"predicted glucosyltransferase"
"b1310"	"ycjN"	"predicted sugar transporter subunit -!- periplasmic-binding component of ABC superfamily"
"b1311"	"ycjO"	"predicted sugar transporter subunit -!- membrane component of ABC superfamily"
"b1312"	"ycjP"	"predicted sugar transporter subunit -!- membrane component of ABC superfamily"
"b1313"	"ycjQ"	"predicted oxidoreductase, Zn-dependent and NAD(P)-binding"
"b1314"	"ycjR"	"predicted enzyme"
"b1315"	"ycjS"	"predicted oxidoreductase, NADH-binding"
"b1316"	"ycjT"	"predicted hydrolase"
"b1317"	"ycjU"	"predicted beta-phosphoglucomutase"
"b1318"	"ycjV"	"predicted sugar transporter subunit -!- ATP-binding component of ABC superfamily"
"b4524"	"ymjB"	"predicted protein"
"b1319"	"ompG"	"outer membrane porin"
"b1320"	"ycjW"	"predicted DNA-binding transcriptional regulator"
"b1321"	"ycjX"	"conserved protein with nucleoside triphosphate hydrolase domain"
"b1322"	"ycjF"	"conserved inner membrane protein"
"b1323"	"tyrR"	"DNA-binding transcriptional dual regulator, tyrosine-binding"
"b1324"	"tpx"	"lipid hydroperoxide peroxidase"
"b1325"	"ycjG"	"L-Ala-D/L-Glu epimerase"
"b1326"	"mpaA"	"murein peptide amidase A"
"b4525"	"ymjC"	"predicted oxidoreductase"
"b1327"	"ycjY"	"predicted hydrolase"
"b1328"	"ycjZ"	"predicted DNA-binding transcriptional regulator"
"b1329"	"mppA"	"murein tripeptide (L-ala-gamma-D-glutamyl-meso-DAP) transporter subunit -!- periplasmic-binding component of ABC superfamily"
"b1330"	"ynaI"	"conserved inner membrane protein"
"b1332"	"ynaJ"	"predicted inner membrane protein"
"b1333"	"uspE"	"stress-induced protein"
"b1334"	"fnr"	"DNA-binding transcriptional dual regulator, global regulator of anaerobic growth"
"b1335"	"ogt"	"O-6-alkylguanine-DNA:cysteine-protein methyltransferase"
"b1336"	"abgT"	"cryptic aminobenzoyl-glutamate transporter"
"b1337"	"abgB"	"predicted peptidase, aminobenzoyl-glutamate utilization protein"
"b1338"	"abgA"	"predicted peptidase, aminobenzoyl-glutamate utilization protein"
"b1339"	"abgR"	"predicted DNA-binding transcriptional regulator"
"b4426"	"IS061"	"small RNA"
"b1340"	"ydaL"	"conserved protein"
"b1341"	"ydaM"	"diguanylate cyclase protein that works antagonistically to b1285 in expression of biofilm-associated curli fimbriae"
"b1342"	"ydaN"	"predicted Zn(II) transporter"
"b1343"	"dbpA"	"ATP-dependent 3'--5' RNA helicase specific for 23S rRNA"
"b1344"	"ydaO"	"predicted C32 tRNA thiolase"
"b1345"	"intR"	"Rac prophage; integrase"
"b1346"	"ydaQ"	"Rac prophage; conserved protein"
"b1347"	"ydaC"	"Rac prophage; predicted protein"
"b1348"	"lar"	"Rac prophage; restriction alleviation protein"
"b1349"	"recT"	"Rac prophage; recombination and repair protein"
"b1350"	"recE"	"Rac prophage; exonuclease VIII, 5' -> 3' specific dsDNA exonuclease"
"b1351"	"racC"	"Rac prophage; predicted protein"
"b4526"	"ydaE"	"Rac prophage; conserved protein"
"b1352"	"kil"	"Rac prophage; inhibitor of ftsZ, killing protein"
"b1353"	"sieB"	"Rac prophage; phage superinfection exclusion protein"
"b4527"	"ydaF"	"Rac prophage; predicted protein"
"b1355"	"ydaG"	"Rac prophage; predicted protein"
"b1356"	"racR"	"Rac prophage; predicted DNA-binding transcriptional regulator"
"b1357"	"ydaS"	"Rac prophage; predicted DNA-binding transcriptional regulator"
"b1358"	"ydaT"	"Rac prophage; predicted protein"
"b1359"	"ydaU"	"Rac prophage; conserved protein"
"b1360"	"ydaV"	"Rac prophage; predicted DNA replication protein"
"b1361"	"ydaW"	"Rac prophage; predicted DNA-binding protein"
"b1362"	"rzpR"	"Rac prophage; predicted defective peptidase"
"b4528"	"rzoR"	"Rac prophage; predicted lipoprotein"
"b1363"	"trkG"	"Rac prophage; potassium transporter subunit"
"b1365"	"ynaK"	"Rac prophage; conserved protein"
"b1366"	"ydaY"	"Rac prophage; predicted protein"
"b1368"	"ynaA"	"Rac prophage; predicted tail protein"
"b1369"	"lomR_1"	"Rac prophage; predicted protein, N-ter fragment (pseudogene)"
"b1371"	"lomR_2"	"Rac prophage; predicted protein, C-ter fragment (pseudogene)"
"b4570"	"lomR"	"Rac prophage; predicted protein (pseudogene)"
"b1372"	"stfR"	"Rac prophage; predicted tail fiber protein"
"b1373"	"tfaR"	"Rac prophage; predicted tail fiber assembly protein"
"b1374"	"pinR"	"Rac prophage; predicted site-specific recombinase"
"b1375"	"ynaE"	"Rac prophage; predicted DNA-binding transcriptional regulator"
"b1376"	"uspF"	"stress-induced protein, ATP-binding protein"
"b1377"	"ompN"	"outer membrane pore protein N, non-specific"
"b4427"	"tke8"	"regulatory sRNA"
"b1378"	"ydbK"	"fused predicted Fe-S subunit of pyruvate-flavodoxin oxidoreductase"
"b4529"	"ydbJ"	"predicted protein"
"b1379"	"hslJ"	"heat-inducible protein"
"b1380"	"ldhA"	"fermentative D-lactate dehydrogenase, NAD-dependent"
"b1381"	"ydbH"	"predicted protein"
"b1382"	"ynbE"	"predicted lipoprotein"
"b1383"	"ydbL"	"conserved protein"
"b1384"	"feaR"	"DNA-binding transcriptional regulator"
"b1385"	"feaB"	"phenylacetaldehyde dehydrogenase, NAD(P)-dependent"
"b1386"	"tynA"	"tyramine oxidase, copper-requiring"
"b1387"	"maoC"	"fused aldehyde dehydrogenase -!- enoyl-CoA hydratase in phenylacetate metabolism"
"b1388"	"paaA"	"multicomponent phenylacetyl-CoA oxygenase subunit"
"b1389"	"paaB"	"multicomponent phenylacetyl-CoA oxygenase subunit"
"b1390"	"paaC"	"multicomponent phenylacetyl-CoA oxygenase subunit"
"b1391"	"paaD"	"multicomponent phenylacetyl-CoA oxygenase subunit"
"b1392"	"paaE"	"multicomponent phenylacetyl-CoA oxygenase subunit"
"b1393"	"paaF"	"enoyl-CoA hydratase-isomerase"
"b1394"	"paaG"	"acyl-CoA hydratase"
"b1395"	"paaH"	"3-hydroxybutyryl-CoA dehydrogenase"
"b1396"	"paaI"	"predicted thioesterase"
"b1397"	"paaJ"	"predicted beta-ketoadipyl CoA thiolase"
"b1398"	"paaK"	"phenylacetyl-CoA ligase"
"b1399"	"paaX"	"DNA-binding transcriptional regulator, aryl-CoA responsive"
